frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,type
1,142.74,170.27,5.05,173.4,166,86.44,166.87,4.54,175.06,172.11,1
2,145.73,159.5,5.23,173.33,164.93,86.7,167.24,3.85,173.41,171.11,
3,146.81,154.69,6.84,171.74,164.2,85.69,165.91,3.28,172.18,169.37,
4,144.68,150.6,8.3,170.87,164.32,84.09,162.67,2.73,170.52,167.07,
5,146.88,142.85,9.15,170.66,163.18,81.15,166.8,1.86,168.73,164.61,
6,145.18,137.03,10.27,170.81,162.16,75.92,177.86,2.06,167.09,162.89,
7,139.29,138.17,10.83,170.01,160.48,66.12,176.89,3.82,164.97,159.86,
8,127.47,140.51,11.75,169.13,157.66,61.64,172.54,5.43,163.89,158.19,
9,117.39,122.59,13.48,168.37,154.9,58.39,176.89,7.55,162.33,155.7,
10,109.84,137.79,16.18,167.08,152.3,54.23,176.53,11.17,161.26,154.56,
11,79.27,157.33,18.51,166.05,151.02,50.74,179.51,13.3,161.06,154.3,
12,74.29,174.53,17.86,167.24,152.26,48.27,178.26,17.03,163.92,159.77,
13,74.39,158.66,24.09,170.04,158.27,48.64,173.65,19.77,167.93,167.4,
14,68.41,179.84,26.65,171.28,160.16,51.16,174.77,27.69,169.95,173.53,
15,93.01,163.48,18.2,173.98,165.02,55.05,178.47,32.72,170.95,170.28,
16,109.43,147.2,19.46,175.23,168.16,57.14,177.81,36.17,172.21,167.32,
17,136.92,158.5,6.16,177.14,171.91,60.76,177.28,42.03,172.34,164.02,
18,130.04,170.21,1.05,176.36,168.31,64.14,173.34,53,172.26,163.31,
19,131.67,162.73,1.97,173.6,164.41,67.65,174.31,60.05,172.17,160.96,
20,119.3,169.43,7.27,172.37,160.54,71.77,175.99,66.79,171.61,159.89,
21,120.39,177.34,2.94,172.66,158.59,72.42,175.47,68.8,172.85,160.06,
22,95.19,117.43,9.54,174.32,159.11,75.93,174.58,74.57,173.04,161.56,
23,78.3,128.53,19.51,175.08,160.23,80.89,174.65,81.48,172.01,161.55,
24,75.53,133.83,23.78,174.44,159.42,95.51,173.61,98.28,171.18,160.77,
25,74.23,134.97,21.04,177.15,162.59,104.46,172.82,107.37,171.75,160.56,
26,69.95,137.85,24.57,179.47,166.08,106.12,171.06,109.22,173.19,161.04,
27,70.2,145.28,26.37,176.01,169.8,117.82,171.72,119.32,174.91,162.53,
28,69.06,152.99,26.72,173.68,171.86,134.04,176.45,132.26,175.95,164.39,
29,70.03,145.95,27.62,172.35,172.59,142.84,178.9,139.35,175.21,163.84,
30,72.07,146.41,27.14,171.49,173.33,147.03,177.4,142.04,176.24,163.85,
31,72.56,141.84,27.74,171.03,173.43,149.92,179.07,143.64,175.09,162.15,
32,71.16,149.31,30.81,171.28,172.13,153.71,179.37,145.85,173.8,160.22,
33,58.32,146.11,31.72,171.69,171.53,157.37,179.66,147.64,173.25,161.02,
34,42.13,151.07,35.17,171.08,171.65,159.08,178.95,148.06,174,162.19,
35,12.81,157.25,44.95,172.43,168.37,166.48,178.46,154.37,174.65,164.46,
36,7.43,166.36,55.86,177.2,159.85,172.63,177.99,159.85,175.28,164.25,
37,1.8,160.92,52,178.88,156.76,171.38,179.99,159.3,175.55,160.08,
38,18.83,167.05,46.49,179.77,158.21,170.63,175.62,158.96,175.52,151.15,
39,27.42,155.44,48.74,177.74,155.67,169.83,178.5,157.77,175.66,144.14,
40,40.98,169.97,57.01,175.52,158.14,171.84,176.64,159.21,176.51,135.79,
41,53.82,168.95,70.86,173.18,158.44,173.94,178.47,157.63,179.99,137.22,
42,25.84,175.62,53.26,171.48,159.49,170.43,179.97,153.09,178.83,137.93,
43,149.81,166.4,3.26,169.95,161.39,165.79,176.44,143.66,175.86,143.98,
44,164.22,124.21,14.63,169.55,164.24,165.11,170.16,136.87,171.8,148.77,
45,148,157.29,0.85,168.22,164.9,162.54,177.38,126.28,168.87,157.36,
46,179.41,173.59,157.61,169.21,168.73,119.57,178.93,86.14,167.4,163.54,
47,169.61,178.93,147.6,171.17,173.02,99.6,169.9,65.22,166.07,170.36,
48,149.44,177.83,145.27,169.85,179.93,85.53,170.24,56.98,165.67,174.45,
49,165.01,174.03,142.29,171.28,176.76,69.28,166.73,43.42,165.42,176.64,
50,167.34,178.89,139.32,171.4,176.73,76.64,166.42,51.38,168.04,174.85,
51,152.15,126.49,10.55,176.85,175.8,71.79,172.08,47.66,173.06,169.53,
52,168.81,90.24,50.9,177.48,167.72,75.69,177.36,55.78,178.34,161.4,
53,88.56,173.02,69.17,174.58,164.88,74.91,176.47,58.95,173.43,147.26,
54,159.86,168.76,39.32,166.53,155.2,69.21,177.07,54.88,168.71,139.69,
55,169.99,175.17,28.28,162.97,151.43,57.93,174.24,44.24,163.87,135.21,
56,168.59,161.95,20.55,161.61,151.5,51.22,172.69,35.9,160.42,135,
57,175.39,154.3,14.97,163.24,154.9,48.45,178.69,23.92,161.97,138.88,
58,175.88,149.46,13.47,166.28,159.3,46.36,176.36,15.75,164.2,144.63,
59,176.55,146.4,13.19,167.55,161.63,46.19,179.66,10.94,165.21,148.48,
60,179.13,156.78,11.54,167.97,162.61,47.14,174.54,8.09,166.84,150.13,
61,176.55,171.3,10.67,171.21,168,46.51,170.95,4.39,167.47,150.66,
62,171.6,178.27,10.65,174.66,172.98,47.61,164.79,3.83,171.28,156.6,
63,168.77,178.27,10.94,175.22,170.32,47.26,162.61,1.23,173.71,161.28,
