frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,163.65,176.24,9.41,150.13,151.61,124.63,156.62,25.74,170.89,136.7
2,165.38,179.89,9.38,150.78,152.63,117.74,154.56,23.65,170.5,133.83
3,168.06,173.47,8.33,154.01,157.64,96.15,154.64,21.22,171.9,134.13
4,166.51,178.18,7.36,155.66,163.44,78.89,151.26,18.6,172.29,137.89
5,160.11,176.79,3.44,157.6,169.89,57.25,149.76,16.16,170.66,141.49
6,150.55,179.85,0.43,161.38,177.71,46.79,160.39,13.36,169.83,145.76
7,144.25,171.6,0.2,162.58,172.08,39.69,174.51,8.61,168.02,150.96
8,143.22,176.32,1.78,162.53,175.62,33.85,179.1,5.51,167.13,155.67
9,148.29,176.61,2.26,163.5,175.14,29.06,176.42,2.79,167.46,159.94
10,141.83,171.82,0.2,164.71,169.1,30.81,177.98,3.75,167.68,164.51
11,169.31,178.65,5.44,171.18,169.37,27.21,171.52,2.66,169.58,171.11
12,168.4,174.26,8.37,172.01,164.29,28.61,175.32,3.94,167.86,172.75
13,164.23,168.14,11.07,173.22,165.35,30.99,178.43,3.75,167.35,170.25
14,157.14,161.53,12.69,173.61,163.11,30.02,179.87,0.36,167.3,166.12
15,125.11,137.55,14.74,172.09,160.16,26.21,172.6,1.64,170.08,167.01
16,109.36,122.25,17.02,173.43,155.83,24.52,174.32,4.69,170.89,161.79
17,121.6,139.52,18.1,175.28,157.28,19.44,172.1,6.04,172.78,156.97
18,118.59,135.83,15.27,177.54,154.17,17.32,175.09,5.04,174.89,165.5
19,113.36,141.73,16.38,174.64,161.51,18.1,175.07,7.79,174.76,135.23
20,31.63,16.34,16.96,175.0,148.33,17.24,175.02,7.76,169.73,156.23
21,163.63,163.7,16.24,166.86,152.84,16.98,177.25,7.96,168.66,158.99
22,93.1,143.27,15.51,163.47,154.48,14.57,169.8,10.37,169.63,162.06
23,65.38,148.84,17.1,160.75,156.18,20.36,179.03,12.71,169.13,165.41
24,59.78,157.02,18.46,159.04,157.78,19.06,172.58,15.44,168.97,170.66
25,27.07,40.4,18.33,161.43,158.57,23.15,175.2,21.79,165.99,173.43
26,26.85,163.71,21.75,168.97,142.63,27.9,176.57,29.44,159.36,170.47
27,23.65,172.52,22.95,159.83,163.55,34.48,175.35,38.99,165.69,172.07
28,16.82,172.15,23.48,161.26,162.73,39.55,177.7,42.83,156.79,162.36
29,2.12,156.72,27.58,167.02,179.89,20.26,176.38,23.16,149.5,127.16
30,9.77,156.64,31.51,167.16,160.03,50.42,179.11,52.11,141.51,132.79
31,18.27,165.28,32.16,169.0,158.93,18.44,178.93,19.66,144.92,131.95
32,22.54,162.97,34.99,167.01,139.55,22.73,179.45,18.86,177.3,158.21
33,19.94,164.9,25.01,179.04,161.88,24.28,179.39,15.2,179.69,151.89
34,8.73,155.68,10.63,173.15,162.2,25.84,178.17,13.17,178.46,146.38
35,40.81,58.87,12.84,173.88,157.22,28.97,173.15,16.53,174.96,154.17
36,163.04,174.52,8.34,169.31,162.07,26.4,176.67,15.47,171.43,154.03
37,169.32,172.64,1.51,168.48,169.28,28.99,179.74,23.94,170.48,152.5
38,71.48,118.67,171.74,169.68,168.95,42.91,172.14,36.25,167.78,155.94
39,114.84,164.46,171.94,169.18,170.66,40.73,175.78,41.45,163.12,162.49
40,143.93,162.28,167.46,173.71,163.33,74.1,179.97,71.18,160.92,167.83
41,163.56,159.59,164.81,178.13,157.27,72.54,170.63,58.12,159.33,171.02
42,166.34,160.1,162.9,178.29,153.23,49.81,159.73,39.72,156.16,174.38
43,178.12,159.69,157.36,171.36,146.53,41.7,179.28,37.9,156.83,175.73
44,176.8,162.51,150.8,164.2,139.84,67.03,170.88,54.1,156.54,176.78
45,72.19,88.89,135.0,157.01,133.14,81.95,167.43,61.15,156.63,175.17
46,103.03,177.42,112.95,151.54,130.08,88.51,134.96,22.55,157.5,174.2
47,98.29,173.14,94.44,147.76,129.64,29.06,168.64,2.53,157.78,168.23
48,118.63,178.46,69.27,145.99,131.24,23.72,172.17,2.78,159.19,164.09
49,138.18,177.74,44.67,145.6,134.1,26.88,172.83,5.49,157.76,164.53
50,154.95,167.2,26.41,141.76,136.15,37.84,179.3,8.29,157.38,164.83
51,162.78,177.91,16.85,142.83,140.98,55.73,153.36,8.28,158.01,165.41
52,163.98,179.0,11.2,141.22,143.61,66.21,154.68,6.85,159.32,166.2
53,166.56,178.4,8.66,141.36,144.8,67.28,146.4,9.07,160.32,168.05
54,164.98,177.37,7.55,142.21,145.3,61.97,150.45,6.94,160.39,170.52
55,168.24,176.12,6.42,143.93,146.9,62.94,158.52,7.51,159.01,172.29
56,163.68,173.45,10.45,147.11,148.7,61.61,172.45,8.99,157.98,172.71
57,170.43,177.31,8.58,152.62,151.86,66.41,161.72,11.79,155.51,175.1
