frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,112.16,170.15,17.25,178.75,154.99,107.98,173.17,7.3,176.46,175.91,4
2,116.45,172.53,17.27,179.22,158.2,95.44,168.92,7.34,175.7,176.33,
3,125.85,173.95,18.22,179.72,162.46,80.45,178.5,3.57,175.1,177.06,
4,129.93,179.18,18.75,179.76,166.54,99.97,166.71,1.8,174.5,178.52,
5,132.15,176.06,19.05,179.8,168.71,107.62,170.64,1.55,174.23,178.74,
6,133.31,174.61,19.22,179.65,171.21,115.7,167.54,4.71,173.35,178.09,
7,131.13,173.28,18.14,178.99,173.15,108.68,169.19,4.38,170.56,173.19,
8,131.49,173.37,18.48,179.02,174.36,117.03,174.65,2.37,169.07,167.23,
9,134.23,174.27,19.62,178.25,174.39,112.9,167.9,2.32,165.95,161.25,
10,128.92,174.24,18.39,176.94,170.98,117.39,173.86,4.07,164.76,157.12,
11,127.73,174.81,18.75,173.02,162.97,141.54,173.16,6.32,162.88,151.87,
12,118.07,169.6,18.09,168.33,154.69,111.01,166.63,1.69,159.22,142.57,
13,106.91,164.44,17.68,165.5,149.14,94.13,166.26,3.94,157.49,135.02,
14,104.4,155.21,18.56,165.19,148.32,82.14,171.44,3.45,155.32,130.69,
15,88.1,148.12,17.1,166.19,150.6,65.21,170.27,4.04,154.34,130.68,
16,167.85,96.35,17.28,168.22,154,80.3,160.11,7.02,154.57,132.65,
17,34.36,80.34,21.39,171.86,160.29,63.14,160.27,8.96,154.4,135.77,
18,25.53,168.84,25.5,176.37,169.16,38.89,175.05,13.56,153.6,136.93,
19,18.95,167.59,30.73,178.74,174.7,27.7,174.6,17.26,155.77,143.81,
20,31.2,176.98,39.83,178.88,176.2,27.17,172.15,28,159.31,151.07,
21,35.71,179.14,43.53,177.33,174.5,30.71,169.62,37.23,163.52,159.78,
22,44.03,178,51.32,176.33,173.55,31.97,166.95,41.67,166.59,166.9,
23,45.86,177.43,53.47,176.19,172.44,40.58,162.77,52.13,169,172.05,
24,46.57,176.75,53.48,176.29,171.29,51.32,168.59,62.96,171.06,175.52,
25,45.93,175.29,52.16,176.36,170.58,71.14,176.51,84.6,172.07,176.77,
26,46.15,176.81,51.89,177.29,171.79,91.14,176.92,104.28,173.8,177.57,
27,42.02,177.09,48.12,179.67,177.32,111.71,172.64,126.43,176.65,178.63,
28,40.48,175.7,47.85,177.23,176.9,117.07,167.81,134.88,178.97,175.35,
29,44.06,174.9,51.64,173.54,168.3,130.11,168.02,145.82,177.97,173.12,
30,46.22,179.86,49.73,171.25,161.21,137.27,165.35,151.11,176.06,171.03,
31,38.76,177.13,41.31,170.03,158.27,143.56,168.63,154.17,174.59,170.03,
32,35.54,176.41,36.79,167.67,151.39,150.79,170.42,158.18,173.55,169.46,
33,23.72,175.55,29.18,166.12,150.19,155.58,170.41,160.45,172.89,169.57,
34,13.04,178.74,19.64,165.93,151.9,161,170.09,162.01,172.83,170.99,
35,7.77,177.85,12.96,165.12,156.86,165.4,169.18,162.86,171.67,171.17,
36,14.61,82.28,9.04,165.89,162.75,165.49,170.14,160.68,171.36,171.51,
37,2.28,176.46,9.52,166.56,166.61,166.57,171.62,160.8,171.28,171.67,
38,153.62,172.96,6.39,167.4,169.05,167.25,174.57,160.38,171.81,171.1,
39,163,166.47,10.04,171.23,177.21,169.57,178.7,159.85,171.98,168.61,
40,174.99,171.11,3.13,171.66,178.35,169.4,174.73,160.73,172.99,165.47,
41,178.29,178.56,3,173.69,179.15,169.87,175.27,163,175.56,159.26,
42,179.31,176.21,4.45,176.09,177.66,167.65,175.46,163.17,178.27,152.04,
43,175.2,172.18,8.2,176.49,175.08,165.22,178.26,161.78,178.45,142.64,
44,179.21,157.41,152.52,176.2,173.03,168.64,161.29,160.65,179.57,138.64,
45,165.56,176.57,13.55,175.37,170.46,168.35,166.87,155.29,177.03,148.27,
46,179.07,172.36,1.03,176.17,171.64,147.91,171.25,136.01,173.89,161.87,
47,148.86,165.86,17.58,176.93,172.98,120.59,170.55,116.14,168.9,174.14,
48,24.3,179.33,48.89,179.27,176.16,79.95,168.89,80.66,165.86,176.91,
